feature,mean_importance
Prev Volume_multiply_Prev Close Price,-0.00022845402447604357
Open Price,-8.149966854102964e-05
Low Price,-1.455565092636224e-05
High Price,0.0
Close Price,0.0
Dividend_ratio_Prev Volume,0.0
Dividend,0.0
Dividend_multiply_Low Price,0.0
Dividend_ratio_Volume,0.0
MA5_ratio_Dividend,0.0
MA20,3.0032341108898743e-05
MA5,4.602466420822182e-05
MA10,0.00027178569377492854
MA20_ratio_MA10,0.0003003047645300461
Prev Close Price,0.0003945649139065921
Low Price_diff_MA20,0.0006727670973020183
Close Price_ratio_MA5,0.0007700826256272552
Open Price_diff_Low Price,0.0008496459171947856
Prev Volume,0.000993262476520629
Volume,0.001217972015690494
Low Price_diff_Close Price,0.0019472004973094092
