feature,weight
intercept,0.07611043977445209
Open Price,0.14570561659214265
High Price,0.06303499508828463
Low Price,0.13794312563832448
Close Price,0.018061548884622768
Volume,0.024943113081705454
Dividend,-0.46201453422789396
MA5,0.004115344803091979
MA10,-0.19307869697687974
MA20,-0.3606638666701076
Prev Close Price,0.2171727368280636
Prev Volume,-0.032702795927787305
