feature,weight
intercept,0.07335949343648393
Open Price,0.10000847114434455
High Price,0.05539205193727618
Low Price,0.08529387082702249
Close Price,0.024241928770701734
Volume,0.021238056330629387
Dividend,-0.16949496110919463
MA5,-0.040687600294412755
MA10,-0.14007569948281132
MA20,-0.2213019603522013
Prev Close Price,0.14695111029013058
Prev Volume,-0.0020444736076970565
