feature,mean_importance
MA10,1.8431922532651836e-05
Prev Volume,4.7704506647825753e-05
Prev Close Price,9.050451111900347e-05
MA20,0.00018225607338402482
Low Price_sum_High Price,0.0007162019038675461
MA5,0.0009512000386521938
Open Price,0.0009975530831093842
High Price_multiply_Open Price,0.0016060347468992591
High Price,0.0018592009608536081
Dividend_sum_Close Price,0.002015950705376764
High Price_sum_Open Price,0.002259653825210051
Close Price_diff_Dividend,0.0027392439238251233
Low Price_multiply_High Price,0.003093286573993231
Close Price_multiply_High Price,0.015035108148893575
Close Price_multiply_Low Price,0.022987958904847346
Close Price_sum_High Price,0.026643205096851152
Low Price,0.026697734339378543
Close Price_sum_Low Price,0.03063566465993192
Close Price,0.08002335230009831
