feature,mean_importance
Dividend_ratio_Prev Volume,-0.00014901860095346554
Dividend,6.879783188944444e-05
MA10,0.0001988548060072093
Dividend_ratio_Volume,0.00022880370389639638
Open Price,0.00025613271182460816
High Price_ratio_Open Price,0.0004356286946081589
Open Price_ratio_High Price,0.000508641494545814
MA20,0.0005150469103965439
High Price,0.0005533102685358893
High Price_diff_Low Price,0.0008461898539187329
Low Price,0.0009096051191286314
MA5_ratio_Prev Close Price,0.0012116685004200268
Prev Close Price_ratio_MA5,0.001291977592570892
Prev Close Price,0.001989387251008856
Close Price,0.0021675048608190473
Open Price_diff_Low Price,0.002276583596752757
Open Price_diff_Close Price,0.002358176431148662
MA5,0.0025569562935771283
Volume,0.00258985135966987
random_feature,0.002707747939699523
Prev Volume,0.003312623522281255
Low Price_diff_Close Price,0.010954671818868422
