feature,mean_importance
MA5,-0.001153548869804988
Open Price_ratio_High Price,-0.0008918033425347582
random_feature,-0.0008898990877130419
High Price,-0.0008620199078939628
High Price_ratio_Open Price,-0.0008402276350329751
Open Price,-0.0005964426918778409
Dividend_ratio_Prev Volume,-0.00029612808372518894
Prev Volume,-9.49269733929059e-05
MA10,-9.241864488673812e-05
Dividend_ratio_Volume,-5.526167318414821e-06
Dividend,0.0
Low Price,0.000330047019048485
Close Price,0.00046236841926519114
Open Price_diff_Close Price,0.0004912857803316628
MA20,0.000543924602075152
Prev Close Price,0.000625024824212872
MA5_ratio_Prev Close Price,0.0009974338162493713
Prev Close Price_ratio_MA5,0.0010465565105269414
Open Price_diff_Low Price,0.0014571635771877477
High Price_diff_Low Price,0.0018683447106400352
Volume,0.0025704956322207596
Low Price_diff_Close Price,0.0102236787007707
