feature,mean_importance
Open Price_ratio_High Price,-0.0005357231619592673
Dividend,-0.00042539981204272605
MA10,-0.0001921490580298002
Dividend_ratio_Prev Volume,-0.00016740635624667988
Low Price,0.00011748483548150724
Open Price,0.0001350949473981844
Dividend_ratio_Volume,0.00022194530042198845
Volume,0.0002718295773053381
High Price_diff_Low Price,0.0003158999084347691
random_feature,0.0004997764598830834
High Price,0.0005536085462856111
MA5_ratio_Prev Close Price,0.0005779426166400148
Prev Close Price_ratio_MA5,0.0006866684102145415
Close Price,0.0007088041300998382
Open Price_diff_Low Price,0.0011895958991511302
MA20,0.0014470196852348627
Prev Close Price,0.001658162045570921
MA5,0.002036673244410192
Open Price_diff_Close Price,0.0028813516989751654
High Price_ratio_Open Price,0.002990730453730017
Prev Volume,0.004172040952266176
Low Price_diff_Close Price,0.01108446125421736
