feature,mean_importance
MA20_ratio_MA10,-0.0007989821623911375
MA20,-0.0002368915357950918
Low Price,-0.00010682089954963114
MA10,-0.00010231527146176145
Dividend_ratio_Prev Volume,0.0
Dividend_multiply_Low Price,0.0
MA5_ratio_Dividend,0.0
Dividend,0.0
Dividend_ratio_Volume,0.0
Prev Volume,1.0656708870993015e-05
Open Price,0.00012177165528763912
Close Price,0.00018032581305340578
Prev Close Price,0.00025891787491034713
High Price,0.0002690881127793476
MA5,0.00029639933410157137
Low Price_diff_MA20,0.00036235065693495104
Prev Volume_multiply_Prev Close Price,0.0004853348496723253
Volume,0.0007241363984446858
Open Price_diff_Low Price,0.0007772475024356629
Close Price_ratio_MA5,0.0008949483625626975
Low Price_diff_Close Price,0.0013283056140856342
