feature,mean_importance
Volume,-3.830933987616445e-05
Dividend,0.0
Prev Close Price,0.0002613378403417242
MA10,0.00044371891564337385
Prev Volume,0.0004488944654656676
High Price_multiply_Open Price,0.0008490004293189477
MA5,0.0008761992536401459
Open Price,0.0013595735444422818
MA20,0.0014086300402233814
Low Price_multiply_High Price,0.0025576126546425154
Close Price_diff_Dividend,0.0038113847971359685
Close Price_multiply_Low Price,0.005298326599252197
Low Price,0.0090245519487858
Dividend_sum_Close Price,0.01484212326170714
Close Price_sum_Low Price,0.01555416487123375
Close Price_multiply_High Price,0.01649545567984282
Low Price_sum_High Price,0.0170534044320782
High Price,0.017061677816580308
Close Price_sum_High Price,0.018368061116223088
High Price_sum_Open Price,0.0192674936863559
Close Price,0.033459229480913566
