feature,weight
intercept,-0.0003215745958479244
Open Price,-1.2165948810488003
High Price,3.9430714332780528
Low Price,-1.8132529961017325
Close Price,-0.21316854213597392
Volume,-0.11307464843169013
Dividend,0.09310328074896641
MA5,-0.1605867697441994
MA10,-0.052453843765229546
MA20,0.039984578672354276
Prev Close Price,0.3120211806391503
Prev Volume,-0.08053066657135699
