feature,mean_importance
Prev Volume,-4.422372038960856e-08
Dividend,2.6020852139652105e-19
Volume,2.009823773793315e-06
MA10,1.9805252926540732e-05
MA5,2.4284552264701875e-05
MA20,6.386536249591057e-05
Open Price,0.0001265264094182413
Prev Close Price,0.00019106905552873443
Dividend_sum_High Price,0.0003953906623288001
High Price_diff_Dividend,0.0004641647909442945
High Price_multiply_Open Price,0.0006574605123565167
High Price,0.0009392722257577236
High Price_sum_Open Price,0.0012160526690722568
Low Price_sum_High Price,0.001657341957973062
Low Price,0.006185287423167554
Low Price_multiply_High Price,0.008277354090308718
Close Price_multiply_Open Price,0.013769507214903377
Close Price_sum_Open Price,0.017759303269631557
Close Price_sum_High Price,0.01962294236230083
Close Price_multiply_High Price,0.021316547434340243
Close Price,0.2105008866933019
