feature,mean_importance
Dividend,-6.071532165918824e-19
Volume,4.451713407108756e-06
Prev Volume,7.5473992738307735e-06
MA5,5.0880398019933785e-05
MA10,6.422683593154225e-05
MA20,6.786209215929638e-05
Prev Close Price,0.0015262201955263872
High Price,0.020296572299274857
Open Price,0.023474730697684236
Low Price,0.258342287382972
Close Price,0.3286798246784427
