feature,mean_importance
Prev Close Price,-6.23828428461863e-05
MA10,1.0892985641277122e-06
Prev Volume,3.048017174468471e-05
High Price_sum_Open Price,0.00018900977725920756
MA20,0.00033062855809066674
Open Price,0.00043426651506351126
High Price_multiply_Open Price,0.0007226072723198069
MA5,0.0009625519261967699
High Price,0.0014848788368255618
Dividend_sum_Close Price,0.001851225552144346
Close Price_multiply_Low Price,0.0031600265113236395
Low Price_multiply_High Price,0.003400853419632889
Low Price_sum_High Price,0.004025106334356823
Close Price_diff_Dividend,0.0062838399185993436
Close Price_multiply_High Price,0.02101062902177548
Close Price_sum_High Price,0.02644943511574922
Close Price,0.028332834848383958
Low Price,0.05402957219938622
Close Price_sum_Low Price,0.06033901087474688
