feature,mean_importance
Prev Volume,-2.4642497292770486e-05
Dividend,0.0
Volume,5.886247699628472e-06
MA10,1.3630410718447686e-05
High Price_sum_Open Price,2.357656146204706e-05
Dividend_sum_High Price,4.8450578717907375e-05
MA5,8.60902700978859e-05
MA20,0.00010543424792430639
Prev Close Price,0.00011576947529889476
Low Price_multiply_High Price,0.0007010309920094368
High Price_diff_Dividend,0.0007798401446510462
Close Price_sum_Open Price,0.004676784259592117
Close Price_multiply_Open Price,0.005638148368091083
Low Price_sum_High Price,0.0058568126498658585
Open Price,0.007508800555490093
High Price_multiply_Open Price,0.009688720303185204
Close Price_multiply_High Price,0.012401119701780946
High Price,0.016274328623054665
Close Price_sum_High Price,0.021671959443449663
Low Price,0.05810382554754482
Close Price,0.11140363544934402
