feature,mean_importance
Prev Volume,1.9151509709167473e-06
MA20,4.588920446709829e-05
MA10,0.0002950135924144908
MA5,0.0020978515003423686
Prev Close Price,0.0037522006472901284
High Price,0.029754974058889716
Open Price,0.04259124427092255
Low Price,0.04755132404279179
Close Price,0.6126473015495211
