feature,mean_importance
Prev Close Price_ratio_MA5,-0.0006983181738714483
High Price_ratio_Open Price,-0.0006876890138258762
MA5,-0.00041296020138719135
High Price,-6.378241430735621e-05
Dividend,-4.290371817841088e-05
Open Price_ratio_High Price,-3.811845436829664e-05
MA10,0.0
MA20,0.0
Dividend_ratio_Volume,0.0
Dividend_ratio_Prev Volume,2.9223252253229858e-05
MA5_ratio_Prev Close Price,0.0002831296724257859
Prev Close Price,0.0003889122929549016
Low Price,0.00048544852584415655
High Price_diff_Low Price,0.0007755552119610209
Close Price,0.000787051459624788
Open Price_diff_Close Price,0.0009335671938077939
Prev Volume,0.0011513182829902436
Open Price,0.0026267909640069974
Volume,0.0035670688741201717
Open Price_diff_Low Price,0.004060024376791827
Low Price_diff_Close Price,0.004998413722405348
