feature,mean_importance
Low Price_sum_High Price,0.00019793519156985663
High Price_sum_Open Price,0.0003137689338695231
High Price_multiply_Open Price,0.00035436167577453017
Close Price_sum_Low Price,0.00038072367755067997
MA10,0.0009056746411020749
High Price,0.0010393717189489974
Dividend_sum_Close Price,0.0011783937550120503
Prev Volume,0.001391157273953573
MA20,0.001444627387372072
Close Price_diff_Dividend,0.0021782155454071737
Prev Close Price,0.002430119717921085
Open Price,0.002597624127473805
Low Price_multiply_High Price,0.0057853429989490265
Close Price_sum_High Price,0.0077059012638462975
Close Price_multiply_Low Price,0.009901848538161688
MA5,0.0152870400859083
Low Price,0.037329752484837844
Close Price_multiply_High Price,0.04221844454286604
Close Price,0.18734027796761554
