feature,mean_importance
MA10,0.0002096756382520406
Prev Volume,0.0002533526527603985
Low Price_sum_High Price,0.0003477013899052505
Prev Close Price,0.00035144280182179975
Close Price_sum_Low Price,0.00036602503196697954
MA20,0.0003767532276066401
MA5,0.002377566418358594
Close Price_diff_Dividend,0.002637860426339668
High Price_multiply_Open Price,0.0030025120793917798
High Price_sum_Open Price,0.003388125182009796
Close Price_sum_High Price,0.004161033984803591
Low Price_multiply_High Price,0.004912769129344239
Dividend_sum_Close Price,0.005545986624526593
Low Price,0.006147792892975676
Open Price,0.010324975680907095
Close Price_multiply_Low Price,0.01580751892939216
High Price,0.017512465562155834
Close Price_multiply_High Price,0.017655103324906683
Close Price,0.09282868118895579
