feature,mean_importance
MA20,-2.1950408259710853e-05
Prev Volume,3.824033266480731e-05
MA10,4.570098247416842e-05
High Price_sum_Open Price,5.8292480487337137e-05
Low Price_sum_High Price,6.314560488160579e-05
Prev Close Price,0.00010274016411009751
High Price_multiply_Open Price,0.00013389970345478781
MA5,0.0005321562648237764
Close Price_sum_Low Price,0.0007939718922339008
Dividend_sum_Close Price,0.0014612141487921392
Close Price_sum_High Price,0.0022885635368574847
Open Price,0.0026145494593895367
Close Price_multiply_High Price,0.0029275008364109028
Close Price_diff_Dividend,0.00560368436051553
Low Price_multiply_High Price,0.006293118008826347
Low Price,0.03215600443212298
High Price,0.034461520018525135
Close Price_multiply_Low Price,0.04199068614985678
Close Price,0.17664940984107264
