feature,mean_importance
Volume,-8.271652917685342e-05
Dividend,0.0
MA20,1.4315023087641681e-05
Prev Volume,3.9314071852890144e-05
High Price_sum_Open Price,3.950375400505104e-05
MA10,4.065815500092287e-05
Low Price_sum_High Price,4.486860992292917e-05
Prev Close Price,0.00014438274588619813
Dividend_sum_Close Price,0.0003171080266313601
Close Price_sum_High Price,0.0006064390776068966
High Price_multiply_Open Price,0.0007771403346305899
Open Price,0.0010712587524432638
MA5,0.001582937537439054
Close Price_multiply_High Price,0.005684485868259733
Close Price_sum_Low Price,0.007351940573535695
Close Price_multiply_Low Price,0.007521053713305491
Low Price_multiply_High Price,0.018557405179645065
Low Price,0.021634229627092418
Close Price_diff_Dividend,0.03339253853770828
High Price,0.04034540261673626
Close Price,0.08853166786215097
