feature,mean_importance
Volume,-0.00010528209947985208
Dividend,0.0
Low Price_sum_High Price,0.00010765905629303166
MA10,0.0001308115216875033
High Price_sum_Open Price,0.0001592829550861467
Dividend_sum_Close Price,0.00021194536661620729
MA5,0.00022984118976446835
Prev Volume,0.00036622514788309306
MA20,0.00041894423167933455
Prev Close Price,0.00046970357454206033
Close Price_sum_Low Price,0.0028276134635979236
Close Price_sum_High Price,0.0030168432825198183
Low Price_multiply_High Price,0.0037709204088231555
Close Price_diff_Dividend,0.004455963647389618
Open Price,0.00813778846489932
High Price,0.016331059021286936
Close Price_multiply_High Price,0.01774405165708588
High Price_multiply_Open Price,0.019850651373980614
Close Price,0.024291731110997854
Low Price,0.029660353856115734
Close Price_multiply_Low Price,0.10960812118853014
