feature,mean_importance
Dividend,0.0
Volume,7.866245767502826e-06
Prev Close Price,4.1702314157530775e-05
MA10,0.00032538004895592764
Prev Volume,0.0003352055688750978
High Price_multiply_Open Price,0.0007939349675219176
MA5,0.0008498194663568833
MA20,0.0009749693561593893
High Price,0.002366105946938279
Open Price,0.0025174827745717263
Low Price,0.0029683862635600743
High Price_sum_Open Price,0.0033624453440376442
Close Price_multiply_High Price,0.006791233083715552
Dividend_sum_Close Price,0.007006815557028154
Close Price_sum_Low Price,0.007261149280475896
Close Price_diff_Dividend,0.010471991431120252
Low Price_multiply_High Price,0.016039429695795165
Close Price_multiply_Low Price,0.01627729229574729
Low Price_sum_High Price,0.021890724970613402
Close Price_sum_High Price,0.024402179724491737
Close Price,0.060440201578471
