feature,mean_importance
Dividend,-0.0003991342141626664
High Price,0.000961602003033657
Open Price,0.0031391053584631347
MA10,0.004372507681895765
MA20,0.004586256966870672
Volume,0.0048202507550081375
MA5,0.005834034619046036
Prev Close Price,0.0059514007468842054
Close Price,0.0064165871397789285
Prev Volume,0.006683057944628224
Low Price,0.011895605326112025
