feature,mean_importance
Prev Volume,0.0015551315315120557
Open Price,0.005745720843379322
MA20,0.012060829885189018
MA5,0.024721040898464886
MA10,0.03610095784414696
Prev Close Price,0.056008841834034664
Close Price,0.12366657928864981
Low Price,0.15599613762977899
High Price,0.1645112265805372
