feature,mean_importance
Prev Volume,-4.831983408301026e-05
Low Price_sum_High Price,1.9138436932858264e-05
High Price_sum_Open Price,3.902186005387796e-05
Prev Close Price,9.545457139384633e-05
MA10,0.00019626729262540773
Close Price_sum_Low Price,0.000338991419966176
MA20,0.00034137534615530927
MA5,0.00043158962025053715
High Price_multiply_Open Price,0.0007322850586931546
Open Price,0.0010283329157069654
Close Price_sum_High Price,0.001084181895673045
Dividend_sum_Close Price,0.0015117868041141784
Close Price_multiply_High Price,0.003851053939668416
Close Price_diff_Dividend,0.0040261144956071065
Low Price_multiply_High Price,0.00872745734508473
Low Price,0.019680332514724518
Close Price_multiply_Low Price,0.022137699717950373
High Price,0.031769923010523324
Close Price,0.3606571168031432
