feature,mean_importance
Prev Volume,0.0016670075993434434
MA10,0.04457879782297372
MA20,0.07465220048322543
Low Price,0.08913767793281474
Prev Close Price,0.09210177543842926
High Price,0.1312725849805679
MA5,0.13150763456450537
Open Price,0.1613195665000488
Close Price,0.16579924008909
