feature,mean_importance
Open Price_ratio_High Price,-0.0013216545530894352
Low Price,-0.0005185852892397147
Prev Close Price_ratio_MA5,-0.00039094518215685434
Dividend_ratio_Volume,-0.00018838424982745572
Dividend_ratio_Prev Volume,-5.592224280979163e-05
Dividend,-5.4421333526888385e-05
High Price,0.00021279304776296027
MA20,0.00021314138619974444
Close Price,0.00023738934015047342
High Price_ratio_Open Price,0.00023885978988844592
High Price_diff_Low Price,0.00028588923134189594
Prev Close Price,0.00035700939832425946
Open Price,0.00039388345910391643
Open Price_diff_Close Price,0.0005904365105400711
MA5_ratio_Prev Close Price,0.0006034571347899975
Volume,0.0006476150393520009
MA10,0.0010293571085054464
MA5,0.0012940174352558786
Open Price_diff_Low Price,0.0017024357283118353
Prev Volume,0.0029498037837055735
Low Price_diff_Close Price,0.0055359477137546294
