feature,mean_importance
Prev Close Price,-0.0010420352255835264
Open Price_diff_Low Price,-0.0006452185844066039
High Price,-0.00043259167349578574
Open Price_ratio_High Price,-0.0003410019127477959
Prev Close Price_ratio_MA5,-0.0002529514956346013
MA5_ratio_Prev Close Price,-0.00024189348285383883
MA10,-0.00011732120583833883
Dividend,-6.436808271959027e-05
Dividend_ratio_Volume,5.564693532960075e-05
Dividend_ratio_Prev Volume,5.601393775582775e-05
High Price_diff_Low Price,0.00018638174458474044
Open Price,0.0002676787299596528
Low Price,0.00031051537630824024
High Price_ratio_Open Price,0.0003123525465158261
MA20,0.0005939533103297645
Volume,0.0006514864414376431
Close Price,0.000919162814817831
Open Price_diff_Close Price,0.0010766035505945792
MA5,0.001161090876316062
Prev Volume,0.001968126740893683
Low Price_diff_Close Price,0.004671499469380414
