feature,mean_importance
Dividend,8.693112795003008e-06
Prev Volume,0.00021023464242962464
Volume,0.0004009364333857175
MA10,0.025026641522574833
Prev Close Price,0.027254299207172462
Close Price,0.05500611971810141
Low Price,0.05620397220428954
MA20,0.08657452244656111
MA5,0.08898028613561888
Open Price,0.1888868784640555
High Price,0.24953215689468786
