feature,mean_importance
Volume,-5.105728381403791e-05
random_feature,-4.259255682518593e-06
Dividend,0.0
Prev Close Price,0.0002545411250108176
High Price_multiply_Open Price,0.00037081673407667206
Prev Volume,0.0003975915398478967
MA10,0.00042299402213486685
MA5,0.0006063547203165934
Open Price,0.0008969037586285304
MA20,0.0014931430317785574
Low Price_multiply_High Price,0.002909548791602749
High Price,0.0054550135539064536
Close Price_multiply_Low Price,0.005870302068278399
Low Price,0.006451648393566986
Close Price_diff_Dividend,0.006676905286825971
Close Price_multiply_High Price,0.010521053427150262
High Price_sum_Open Price,0.01741013432224815
Close Price,0.02201323432432442
Dividend_sum_Close Price,0.022970057009466305
Low Price_sum_High Price,0.023488249461987583
Close Price_sum_Low Price,0.02471149516550531
Close Price_sum_High Price,0.02893778227837045
