feature,mean_importance
Dividend,0.0
Volume,1.1548211415154767e-05
random_feature,1.6831403993478738e-05
High Price_multiply_Open Price,9.044406994750432e-05
MA10,0.00018751391251005874
Prev Close Price,0.0001977285513905797
Prev Volume,0.00021709802012923694
MA5,0.0002535375196903703
MA20,0.0006018720327513088
Low Price_sum_High Price,0.000675664115574145
High Price_sum_Open Price,0.004343920053634949
Low Price_multiply_High Price,0.005020444817330183
Close Price_sum_High Price,0.007996094317601163
Close Price_multiply_Low Price,0.008152617985967465
Low Price,0.008532092145644052
Open Price,0.009421148023658333
Close Price_sum_Low Price,0.009800105647967582
Close Price_diff_Dividend,0.010428354487337414
High Price,0.010759893070075913
Close Price_multiply_High Price,0.010825680965937537
Dividend_sum_Close Price,0.019338522587788082
Close Price,0.06892210159836813
