feature,mean_importance
random_feature,-5.655424716087612e-05
Dividend,0.0
Volume,0.0001810884930960429
Prev Close Price,0.0001995201262297096
Prev Volume,0.0010896896696011653
MA10,0.001190792365768142
MA20,0.0015863556000400396
Open Price,0.0017818281476709192
High Price_multiply_Open Price,0.0019909119750721503
High Price_sum_Open Price,0.002242847097793962
MA5,0.00230559975890338
Dividend_sum_Close Price,0.0026482089481931286
Low Price,0.005751269269521105
High Price,0.005974540738784649
Close Price_sum_Low Price,0.006046753658138516
Close Price_sum_High Price,0.00737611825810634
Low Price_sum_High Price,0.009766122455870021
Low Price_multiply_High Price,0.01730755851066035
Close Price,0.026505669959748977
Close Price_multiply_Low Price,0.03306499909742806
Close Price_multiply_High Price,0.0337109095252455
Close Price_diff_Dividend,0.0466248328668058
