Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0220132343243244,0.0689221015983681,0.0513587050439934,0.0418900113214255,0.0265056699597489,0
0.0058703020682783,0.0081526179859674,0.0355853267757675,0.0217383578610138,0.033064999097428,0
0.0289377822783704,0.0079960943176011,0.0271787992871791,0.0261806758133028,0.0073761182581063,0
0.0247114951655053,0.0098001056479675,0.0082283907150707,0.0486146640981569,0.0060467536581385,0
0.0066769052868259,0.0104283544873374,0.0190716760176018,0.0115138542296532,0.0466248328668058,0
0.0105210534271502,0.0108256809659375,0.014739183287149,0.0125740861030147,0.0337109095252455,0
0.0229700570094663,0.019338522587788,0.0145432744499568,0.0009946208826673,0.0026482089481931,0
0.0064516483935669,0.008532092145644,0.0081781305512596,0.0238858125103824,0.0057512692695211,0
0.0234882494619875,0.0006756641155741,0.0025097106371263,0.0028703049919589,0.00976612245587,0
0.0174101343222481,0.0043439200536349,0.0043262817626883,0.0015488785607723,0.0022428470977939,0
0.0029095487916027,0.0050204448173301,0.0032511501947899,0.0004777523427582,0.0173075585106603,0
0.0054550135539064,0.0107598930700759,0.0006856643233366,0.0003027471475871,0.0059745407387846,0
0.0008969037586285,0.0094211480236583,0.002134754977263,0.0026244837077235,0.0017818281476709,0
0.0014931430317785,0.0006018720327513,0.0008784203823143,0.0001979279097067,0.00158635560004,0
0.0003708167340766,9.044406994750432e-05,0.0002918108799051,0.0018733921161162,0.0019909119750721,0
0.0006063547203165,0.0002535375196903,0.0005294576949386,0.0006009075743549,0.0023055997589033,0
0.0003975915398478,0.0002170980201292,0.0003088079461856,1.7276749156244603e-05,0.0010896896696011,0
0.0004229940221348,0.00018751391251,0.0001218100816083,5.552140441602606e-06,0.0011907923657681,1
0.0002545411250108,0.0001977285513905,5.521725667723392e-05,2.423438573842824e-05,0.0001995201262297,0
-5.105728381403791e-05,1.1548211415154768e-05,-1.6636046039753862e-05,-7.612508720587305e-05,0.000181088493096,4
0.0,0.0,0.0,0.0,0.0,5
-4.259255682518593e-06,1.6831403993478738e-05,3.2569924325568864e-05,8.132580801136629e-06,-5.655424716087612e-05,5
