feature,mean_importance
MA20_ratio_MA10,-0.0005035116977100351
MA10,-0.0004381299159806451
Prev Volume,-0.00018916057674558395
High Price,-0.0001246336679469495
Dividend_ratio_Volume,0.0
Dividend_ratio_Prev Volume,0.0
Dividend,0.0
Dividend_multiply_Low Price,0.0
MA5_ratio_Dividend,0.0
Open Price_diff_Low Price,2.973282473561767e-05
Close Price,7.308366767466712e-05
Low Price,0.00011599603578213991
Prev Volume_multiply_Prev Close Price,0.00017978663650362048
MA20,0.0003066662441729706
Prev Close Price,0.0004705778071432576
Volume,0.0005632672255989401
Low Price_diff_MA20,0.0005937176902206965
Open Price,0.0005957670826837403
Close Price_ratio_MA5,0.0007969018369652359
MA5,0.0018334679704230528
Low Price_diff_Close Price,0.0034241293525325346
