feature,mean_importance
Dividend,4.336808689942018e-20
Volume,4.463585397452858e-07
Prev Volume,8.224420371876883e-07
MA5,4.0186346115011e-06
Dividend_sum_High Price,1.4546783902207646e-05
High Price_sum_Open Price,1.4748117683184397e-05
MA10,2.002940040274903e-05
High Price_multiply_Open Price,3.351472625151221e-05
MA20,3.441718456038949e-05
High Price,0.0002006011767702968
High Price_diff_Dividend,0.0008827433374695278
Low Price_multiply_High Price,0.0009629713156174304
Close Price_sum_Open Price,0.0011278302025534922
Close Price_multiply_Open Price,0.0013125709262305262
Low Price_sum_High Price,0.004007877217245889
Close Price_multiply_High Price,0.004741591061634394
Prev Close Price,0.0051175518188427095
Close Price_sum_High Price,0.013917596660904863
Open Price,0.048098687585825244
Low Price,0.095364610203971
Close Price,0.2678404333388118
