feature,mean_importance
Dividend,1.7347234759768072e-19
Volume,1.2674328903408694e-07
Prev Close Price,3.1909151498962786e-06
Prev Volume,4.994618125379879e-06
MA20,2.1383683016273478e-05
MA10,4.071576782437164e-05
Open Price,4.751595306701573e-05
MA5,6.946663455967465e-05
High Price,0.00020405221828765589
High Price_diff_Dividend,0.0002567710667761462
High Price_multiply_Open Price,0.00044176415723273007
Dividend_sum_High Price,0.0005639221131392881
High Price_sum_Open Price,0.00126486019396308
Low Price_multiply_High Price,0.0017475885010391889
Low Price_sum_High Price,0.004770209738604184
Close Price_sum_High Price,0.004846430412714792
Low Price,0.006731301022438167
Close Price_multiply_Open Price,0.008944542970346086
Close Price_multiply_High Price,0.0092445547673611
Close Price_sum_Open Price,0.009940141861357906
Close Price,0.5549529026197788
