feature,mean_importance
Dividend,6.196658100289104e-05
Volume,0.0006004887511308383
Prev Volume,0.003586324652003662
MA5,0.03181158250216372
MA20,0.057211749494426735
Open Price,0.07681904770945913
Prev Close Price,0.08219642108497138
MA10,0.10510811658734975
Low Price,0.14414244979357788
High Price,0.17345534442101757
Close Price,0.3444169223594228
