feature,mean_importance
MA10,-0.0006212497807190021
Dividend_multiply_Low Price,0.0
MA5_ratio_Dividend,0.0
Dividend_ratio_Prev Volume,0.0
Dividend_ratio_Volume,0.0
Dividend,0.0
Prev Close Price,0.0001781214809604359
Low Price,0.0003820487239457604
MA20_ratio_MA10,0.0005090152755230948
Close Price_ratio_MA5,0.0005465944559297498
Low Price_diff_Close Price,0.0008205064862526479
MA20,0.0009308495993949784
Low Price_diff_MA20,0.001103193046356643
Volume,0.0012675826775087272
Prev Volume_multiply_Prev Close Price,0.0012690461875383807
High Price,0.0012706468730245835
Close Price,0.0013261560781807624
Open Price,0.0014236988708705046
Open Price_diff_Low Price,0.0016338185551698415
MA5,0.001812191178061595
Prev Volume,0.002161054096462678
