feature,mean_importance
Low Price_diff_MA20,-0.0007350726533061458
Open Price_diff_Low Price,-0.00044564187487274867
Low Price_diff_Close Price,-0.0003412545236384901
Close Price_ratio_MA5,-0.00019241033862491542
Prev Close Price,-4.41352813537188e-05
MA5,-2.1925973608638573e-05
High Price,-4.472227320628797e-06
Dividend_ratio_Prev Volume,0.0
Dividend_multiply_Low Price,0.0
Dividend,0.0
Dividend_ratio_Volume,0.0
MA5_ratio_Dividend,0.0
MA20_ratio_MA10,1.6806978535210958e-05
MA10,9.512604844699179e-05
Open Price,0.00013267887330492556
Prev Volume,0.00014075434230400585
MA20,0.00022554709729769585
Prev Volume_multiply_Prev Close Price,0.0003569893501409904
Low Price,0.0005042343384867199
Volume,0.000567084649611882
Close Price,0.0007369432685426114
