feature,mean_importance
Volume,-2.6020852139652106e-18
Dividend,-1.2143064331837649e-18
Prev Volume,4.8863828906989605e-06
MA20,1.3072846420073177e-05
MA10,2.4147796490563318e-05
Prev Close Price,0.00016543849467581183
High Price_sum_Open Price,0.0012335110512005703
MA5,0.001695512903143918
High Price,0.003638635864369752
High Price_multiply_Open Price,0.004144070973304452
Dividend_sum_Close Price,0.004376950516864276
Low Price_multiply_High Price,0.00517620277487198
Close Price,0.00593707236028111
Open Price,0.006456257007819479
Close Price_diff_Dividend,0.007442998712670605
Low Price_sum_High Price,0.008103195716226474
Close Price_multiply_High Price,0.01098971553349208
Close Price_sum_High Price,0.015102648293171414
Low Price,0.016693517275311407
Close Price_multiply_Low Price,0.04581359867497061
Close Price_sum_Low Price,0.048109197798009595
