feature,mean_importance
MA20,-4.0222293553500434e-07
Prev Volume,1.3877787807814458e-18
Dividend,1.908195823574488e-18
Volume,9.92819888681433e-07
MA10,2.6897045430785554e-06
MA5,4.137973024106404e-05
Prev Close Price,0.00016028981392795394
High Price,0.00026632126223043
Low Price_multiply_High Price,0.0006315211705122808
Open Price,0.0010256725267695254
Low Price,0.0013017765617525723
Low Price_sum_High Price,0.0024237858462009673
Close Price_multiply_High Price,0.005017977695756877
Close Price_sum_Low Price,0.005705542553314279
High Price_multiply_Open Price,0.006649344825913466
Dividend_sum_Close Price,0.007428934603753714
Close Price,0.00890006935577321
High Price_sum_Open Price,0.009410392152762286
Close Price_multiply_Low Price,0.026881041994452792
Close Price_sum_High Price,0.04273120053169357
Close Price_diff_Dividend,0.18376948275618243
