feature,mean_importance
MA5,-0.00043303584421445774
MA5_ratio_Prev Close Price,-0.00038470763196538635
Low Price,-0.0002670823227680197
Prev Close Price_ratio_MA5,-0.0002615700004215737
Dividend_ratio_Volume,-0.00015332257942966
High Price_ratio_Open Price,4.86177927627951e-05
Open Price_diff_Low Price,5.415509174508948e-05
Dividend_ratio_Prev Volume,6.898385356348679e-05
Dividend,0.00012276882584221215
Prev Close Price,0.00041388170195852945
Open Price_ratio_High Price,0.00044825636054628414
High Price_diff_Low Price,0.0005632072886229134
Close Price,0.0008525810074388795
High Price,0.001018817380313286
MA10,0.0015117620353806594
Open Price,0.0018427373769427824
Volume,0.0023716519589392694
Open Price_diff_Close Price,0.002981950796149979
MA20,0.003062397104626724
Prev Volume,0.003617508006639314
Low Price_diff_Close Price,0.008085670376110942
