feature,mean_importance
High Price_diff_Low Price,-0.0012742523064256384
Close Price,-0.001058944048926902
MA20,-0.0008487174751749427
Open Price_ratio_High Price,-0.0008347110870579489
High Price,-0.0008122486557966768
MA5_ratio_Prev Close Price,-0.00036498131004010227
Dividend,0.0
Dividend_ratio_Volume,0.00013147315908670353
Dividend_ratio_Prev Volume,0.00017002023221186492
MA10,0.00029995571103986763
Volume,0.0003732837604027539
Prev Close Price,0.0005866828240083776
Open Price_diff_Low Price,0.0011513676610505285
Prev Close Price_ratio_MA5,0.001341930525455659
Open Price,0.0015152518155977068
Low Price,0.0015560179304561438
MA5,0.0017624976337078824
High Price_ratio_Open Price,0.0018815507484949423
Open Price_diff_Close Price,0.0020153267468979276
Prev Volume,0.0035220198723288298
Low Price_diff_Close Price,0.009635505445415781
