feature,mean_importance
MA5,-0.0007547530707541661
High Price_ratio_Open Price,-0.000733820850884781
Prev Volume,-0.00024151118641124736
Prev Close Price,-0.0002179955571143033
Open Price_ratio_High Price,-0.00014094513078590775
Prev Close Price_ratio_MA5,-8.001644541244524e-05
Dividend_ratio_Volume,-7.156067786251441e-06
Open Price_diff_Low Price,0.0
MA5_ratio_Prev Close Price,0.0
High Price_diff_Low Price,0.0
Dividend_ratio_Prev Volume,0.0
Close Price,0.0
MA20,0.0
MA10,0.0
Dividend,0.0
Low Price,0.0
High Price,6.586888601185503e-05
Open Price_diff_Close Price,0.0014256096815402186
Open Price,0.001823319608449725
Low Price_diff_Close Price,0.0021239148766454496
Volume,0.0031866866984648244
