feature,mean_importance
Volume,-0.0011107266961762675
Open Price_ratio_High Price,-0.0010644053538202414
High Price_ratio_Open Price,-0.0009986106797769789
MA5_ratio_Prev Close Price,-0.0007451322120807901
High Price,-0.0005876723346437407
MA10,-0.00028100835458573227
Dividend_ratio_Prev Volume,-0.00016551722983138006
Dividend,-4.5686923162957525e-05
Low Price,0.0
Dividend_ratio_Volume,3.236054970561231e-05
Prev Close Price_ratio_MA5,0.00016523929971081763
Open Price_diff_Low Price,0.00018415763467645175
MA20,0.00021601290038291142
Prev Close Price,0.0005246622175082872
Open Price,0.0006422036413266996
MA5,0.0008123538909969641
High Price_diff_Low Price,0.0013494000264416162
Open Price_diff_Close Price,0.0013678902476710775
Prev Volume,0.0014488937002169688
Close Price,0.0018230732288100793
Low Price_diff_Close Price,0.006345766414502884
