feature,mean_importance
High Price_sum_Open Price,7.103664512474495e-05
High Price_multiply_Open Price,0.0001609302412722183
Prev Close Price,0.00024221369737936708
MA5,0.00034318541039114156
Prev Volume,0.0003707280654320442
MA10,0.0004920643446794668
MA20,0.0013663761233420513
Low Price_sum_High Price,0.0015358306803058182
Open Price,0.004513816607176147
Close Price_multiply_Low Price,0.00454112344313364
Close Price_sum_Low Price,0.006185243472493671
Close Price_diff_Dividend,0.006230760565045979
Dividend_sum_Close Price,0.006377476837432228
Low Price_multiply_High Price,0.006474929032717372
Low Price,0.009833130445790305
High Price,0.013730385975807825
Close Price_multiply_High Price,0.01750796815148084
Close Price_sum_High Price,0.026522098054952266
Close Price,0.06624485387420712
