feature,mean_importance
Prev Close Price,3.813743297954898e-05
MA10,0.00025255109104685826
Prev Volume,0.0003872562028686143
MA20,0.0010208364246382245
MA5,0.0010216155524770784
High Price_multiply_Open Price,0.0012827150583777016
High Price,0.002079716718030929
High Price_sum_Open Price,0.0021813281556121596
Low Price_sum_High Price,0.0026545601315359412
Low Price,0.0031678449556801136
Open Price,0.0033477426439884558
Close Price_multiply_High Price,0.006423410781653413
Dividend_sum_Close Price,0.007303944635837628
Close Price_sum_Low Price,0.00834663442453501
Close Price_diff_Dividend,0.010424489193134672
Low Price_multiply_High Price,0.01922731372174632
Close Price_multiply_Low Price,0.020601986759478018
Close Price_sum_High Price,0.022279429001116655
Close Price,0.08952484853782272
