feature,mean_importance
Prev Volume,8.527993655268635e-05
MA10,0.00010291123959828321
Dividend_sum_Close Price,0.00017253286978924815
Prev Close Price,0.00017825968763583792
MA20,0.0001914699265622058
High Price_multiply_Open Price,0.0002939195631389925
High Price_sum_Open Price,0.0003168679915653052
High Price,0.0004694102412769064
Low Price_sum_High Price,0.0006918859586260743
MA5,0.0009371394402207658
Open Price,0.0009587039379624345
Close Price_multiply_Low Price,0.00442198098579912
Close Price_diff_Dividend,0.004659571629933525
Low Price_multiply_High Price,0.006163207786583798
Close Price_multiply_High Price,0.0158948059438369
Close Price_sum_High Price,0.044385263472045834
Low Price,0.050431635336363814
Close Price_sum_Low Price,0.05087036768891971
Close Price,0.05425706609150053
